local_name,geo_lat,geo_lng,country,province,gmt,full_text
matamoros,25.87998232,-97.5000024,Mexico,Tamaulipas,6,matamoros - Tamaulipas - Mexico
nuevo laredo,27.4999868,-99.5500065,Mexico,Tamaulipas,6,nuevo laredo - Tamaulipas - Mexico
tampico,22.30001996,-97.8700057,Mexico,Tamaulipas,6,tampico - Tamaulipas - Mexico
tlaxcala,19.31999514,-98.2300096,Mexico,Tlaxcala,6,tlaxcala - Tlaxcala - Mexico
jaltipan,17.93997601,-94.73999,Mexico,Veracruz,6,jaltipan - Veracruz - Mexico
orizaba,18.85002382,-97.1299992,Mexico,Veracruz,6,orizaba - Veracruz - Mexico
xalapa,19.52998232,-96.9199862,Mexico,Veracruz,6,xalapa - Veracruz - Mexico
nautla,20.21658124,-96.7833537,Mexico,Veracruz,6,nautla - Veracruz - Mexico
minatitlan,17.9804645,-94.5300028,Mexico,Veracruz,6,minatitlan - Veracruz - Mexico
coatzacoalcos,18.12040428,-94.4200096,Mexico,Veracruz,6,coatzacoalcos - Veracruz - Mexico
poza rica de hidalgo,20.55043683,-97.4699784,Mexico,Veracruz,6,poza rica de hidalgo - Veracruz - Mexico
santiago tuxtla,18.47038291,-95.2999817,Mexico,Veracruz,6,santiago tuxtla - Veracruz - Mexico
tuxpam,20.9604118,-97.4099821,Mexico,Veracruz,6,tuxpam - Veracruz - Mexico
panuco,22.06044802,-98.1899862,Mexico,Veracruz,6,panuco - Veracruz - Mexico
veracruz,19.17734235,-96.1599809,Mexico,Veracruz,6,veracruz - Veracruz - Mexico
motul,21.09998985,-89.2799874,Mexico,Yucat?n,6,motul - Yucat?n - Mexico
tekax,20.1999931,-89.2799874,Mexico,Yucat?n,6,tekax - Yucat?n - Mexico
peto,20.12997154,-88.9199835,Mexico,Yucat?n,6,peto - Yucat?n - Mexico
halacho,20.47997601,-90.0800161,Mexico,Yucat?n,6,halacho - Yucat?n - Mexico
tizimin,21.13042727,-88.1499788,Mexico,Yucat?n,6,tizimin - Yucat?n - Mexico
valladolid,20.67040367,-88.2000016,Mexico,Yucat?n,6,valladolid - Yucat?n - Mexico
izamal,20.93041363,-89.0200549,Mexico,Yucat?n,6,izamal - Yucat?n - Mexico
ticul,20.40039431,-89.5300238,Mexico,Yucat?n,6,ticul - Yucat?n - Mexico
progreso,21.28331199,-89.6665788,Mexico,Yucat?n,6,progreso - Yucat?n - Mexico
villanueva,22.35001691,-102.88001,Mexico,Zacatecas,6,villanueva - Zacatecas - Mexico
zacatecas,22.77043052,-102.580002,Mexico,Zacatecas,6,zacatecas - Zacatecas - Mexico
juan aldama,24.29041526,-103.389978,Mexico,Zacatecas,6,juan aldama - Zacatecas - Mexico
valparaiso,22.77043052,-103.569967,Mexico,Zacatecas,6,valparaiso - Zacatecas - Mexico
fresnillo,23.17043194,-102.859985,Mexico,Zacatecas,6,fresnillo - Zacatecas - Mexico
balti,47.75908612,27.90531449,Moldova,Balti,2,balti - Balti - Moldova
tiraspol,46.85309491,29.63998897,Moldova,Bender,2,tiraspol - Bender - Moldova
cahul,45.90788129,28.19444413,Moldova,Cahul,2,cahul - Cahul - Moldova
chisinau,47.00502362,28.85771114,Moldova,Chisinau,2,chisinau - Chisinau - Moldova
dubasari,47.2630556,29.1608333,Moldova,Transnistria,2,dubasari - Transnistria - Moldova
monaco,43.73964569,7.406913173,Monaco,,0,monaco -  - Monaco
tsetserleg,47.47688112,101.4501794,Mongolia,Arhangay,8,tsetserleg - Arhangay - Mongolia
bayankhongor,46.30000205,100.9833345,Mongolia,Bayanhongor,8,bayankhongor - Bayanhongor - Mongolia
olgiy,48.93369143,89.95000281,Mongolia,Bayan-?lgiy,8,olgiy - Bayan-?lgiy - Mongolia
bulgan,48.81059816,103.5317061,Mongolia,Bulgan,8,bulgan - Bulgan - Mongolia
choybalsan,48.06658673,114.5060233,Mongolia,Dornod,8,choybalsan - Dornod - Mongolia
ulaan-uul,44.33371381,111.2333032,Mongolia,Dornogovi,8,ulaan-uul - Dornogovi - Mongolia
buyant-uhaa,44.86660118,110.1500101,Mongolia,Dornogovi,8,buyant-uhaa - Dornogovi - Mongolia
mandalgovi,45.74998395,106.2660095,Mongolia,Dundgovi,8,mandalgovi - Dundgovi - Mongolia
hodrogo,48.96642845,96.7832808,Mongolia,Dzavhan,8,hodrogo - Dzavhan - Mongolia
uliastay,47.75001691,96.81671545,Mongolia,Dzavhan,8,uliastay - Dzavhan - Mongolia
altay,46.39612022,95.8450435,Mongolia,Govi-Altay,8,altay - Govi-Altay - Mongolia
ondorhaan,47.31668418,110.6500313,Mongolia,Hentiy,8,ondorhaan - Hentiy - Mongolia
dund-us,48.01664146,91.63325924,Mongolia,Hovd,8,dund-us - Hovd - Mongolia
moron,49.6452759,100.1544445,Mongolia,H?vsg?l,8,moron - H?vsg?l - Mongolia
dalandzadgad,43.58355288,104.4402811,Mongolia,?mn?govi,8,dalandzadgad - ?mn?govi - Mongolia
erdenet,49.05329653,104.118337,Mongolia,Orhon,8,erdenet - Orhon - Mongolia
arvayheer,46.24997927,102.7665848,Mongolia,?v?rhangay,8,arvayheer - ?v?rhangay - Mongolia
suchboatar,50.24999712,106.2000006,Mongolia,Selenge,8,suchboatar - Selenge - Mongolia
darhan,49.61669883,106.3500354,Mongolia,Selenge,8,darhan - Selenge - Mongolia
dzuunharaa,48.86658958,106.4666174,Mongolia,Selenge,8,dzuunharaa - Selenge - Mongolia
baruun urt,46.69997764,113.2833073,Mongolia,S?hbaatar,8,baruun urt - S?hbaatar - Mongolia
dzuunmod,47.71099805,106.9470006,Mongolia,T?v,8,dzuunmod - T?v - Mongolia
ulaanbaatar,47.9166734,106.9166158,Mongolia,Ulaanbaatar,8,ulaanbaatar - Ulaanbaatar - Mongolia
